Train Number,Train Name,From Station,To Station,Arrival Time,Departure Time,Platform,Distance (km),Ticket Price (INR),Train Type,Available Classes,Running Days,Pantry,Clean My Coach,WiFi,Special Notes
12345,Indian Express,New Delhi,Mumbai,04:00 AM,05:00 AM,Platform 12,1449,1200,Superfast Express,"1A, 2A, 3A, SL",Daily,Yes,Yes,Yes,Premium Train with Executive Lounge Access
23456,Rajdhani Express,Mumbai,New Delhi,10:30 PM,11:30 PM,Platform 7,1449,1500,Rajdhani,"1A, 2A, 3A",Daily,Yes,Yes,Yes,All Inclusive Meals
34567,Chennai Superfast,Chennai,Bangalore,08:15 AM,09:15 AM,Platform 5,350,250,Superfast Express,"CC, EC",Daily,Yes,Yes,No,
45678,Howrah Mail,Kolkata,Chennai,09:30 AM,10:30 AM,Platform 1,1660,1000,Mail Express,"1A, 2A, 3A, SL",Daily,Yes,No,No,
56789,Mysore Express,Bangalore,Mysore,08:45 AM,09:45 AM,Platform 3,139,100,Express,"CC, 2S",Daily,No,Yes,No,
67890,Shatabdi Express,Delhi,Jaipur,12:00 PM,01:00 PM,Platform 8,303,350,Shatabdi,"EC, CC",Daily except Thursday,Yes,Yes,Yes,Complimentary Meals
78901,Pune Duronto,Pune,Mumbai,09:30 AM,10:30 AM,Platform 2,192,180,Duronto,"2A, 3A",Mon-Sat,Yes,Yes,Yes,Non-Stop Service
89012,Hyderabad Express,Hyderabad,Bangalore,11:15 AM,12:15 PM,Platform 4,578,420,Express,"1A, 2A, 3A, SL",Daily,Yes,Yes,No,
90123,Gujarat Mail,Mumbai,Ahmedabad,03:00 AM,04:00 AM,Platform 6,493,320,Mail Express,"1A, 2A, 3A, SL",Daily,Yes,No,No,
10123,Chennai Express,Chennai,Hyderabad,05:30 AM,06:30 AM,Platform 2,675,450,Superfast,"2A, 3A, SL",Daily,Yes,Yes,No,
11234,Kolkata Rajdhani,Kolkata,New Delhi,09:00 PM,10:00 PM,Platform 9,1474,1700,Rajdhani,"1A, 2A, 3A",Daily,Yes,Yes,Yes,Premium Rajdhani Service
12345,Bangalore Superfast,Bangalore,Chennai,03:45 PM,04:45 PM,Platform 10,350,250,Superfast,"CC, EC",Daily,Yes,Yes,No,
50001,Tejas Express,Mumbai,Goa,06:00 AM,07:00 AM,Platform 1,552,1200,Tejas,"EC, CC",Daily,Yes,Yes,Yes,High-Speed Premium Train
50002,Vande Bharat,New Delhi,Varanasi,06:00 AM,07:00 AM,Platform 1,759,1800,Vande Bharat,"EC, CC",Daily,Yes,Yes,Yes,Semi High-Speed Train
50003,Gatimaan Express,Delhi,Agra,08:10 AM,09:10 AM,Platform 2,188,800,Gatimaan,"EC, CC",Daily except Friday,Yes,Yes,Yes,Fastest Train on Route
50004,Humsafar Express,Mumbai,Bangalore,11:00 PM,12:00 AM,Platform 3,1025,1100,Humsafar,"3A",Daily,Yes,Yes,Yes,Premium Economy Service
50005,Double Decker,Chennai,Bengaluru,07:00 AM,08:00 AM,Platform 4,350,600,Double Decker,"CC",Daily,Yes,Yes,No,Double Decker Coach Service
